coreid|locality|establishmentmeans|locationid|occurrencestatus|threatstatus
405825|Austria||TDWG:AUT||
405825|Baltic States||TDWG:BLT||
405825|Belarus||TDWG:BLR||
405825|Belgium||TDWG:BGM||
405825|British Columbia|introduced|TDWG:BRC||
405825|Central European Russia||TDWG:RUC||
405825|Connecticut|introduced|TDWG:CNT||
405825|Czechia-Slovakia||TDWG:CZE||
405825|Denmark||TDWG:DEN||
3082777|Albania||TDWG:ALB||
3082777|Altay||TDWG:ALT||
3082777|Austria||TDWG:AUT||
3082777|Baltic States||TDWG:BLT||
3082777|Belarus||TDWG:BLR||
3082777|Belgium||TDWG:BGM||
3082777|British Columbia|introduced|TDWG:BRC||
3082777|Bulgaria||TDWG:BUL||
3082777|Buryatiya||TDWG:BRY||
415853|Afghanistan||TDWG:AFG||
415853|Altay||TDWG:ALT||
415853|Amur||TDWG:AMU||
415853|Austria||TDWG:AUT||
415853|Baltic States||TDWG:BLT||
415853|Belarus||TDWG:BLR||
415853|Belgium||TDWG:BGM||
415853|Buryatiya||TDWG:BRY||
415853|California|introduced|TDWG:CAL||
