taxon|vocab|vocab_version|dim|value|niche_width|n_systems
Abies alba|eive|1.0|M|5.18315712725518|4.18003329717547|18
Abies alba|eive|1.0|N|4.89670025203823|7.18511027769503|13
Abies alba|eive|1.0|R|5.30575728431131|5.73223709061042|15
Abies alba|eive|1.0|L|3.04121397555945|8.37158161532046|15
Abies alba|eive|1.0|T|3.68221723622716|3.25372106578688|18
Corynephorus canescens|eive|1.0|M|2.48617710307631|3.42710384303395|20
Corynephorus canescens|eive|1.0|N|1.75332771254598|3.99605116718728|16
Corynephorus canescens|eive|1.0|R|3.1181297343721|5.82322859266555|18
Corynephorus canescens|eive|1.0|L|8.32896407398661|3.69295209807609|16
Corynephorus canescens|eive|1.0|T|4.84665579929306|3.17748515697261|17
Festuca ovina|eive|1.0|M|3.57005535664753|4.17488172052952|18
Festuca ovina|eive|1.0|N|2.35799962517918|6.72078346038233|13
Festuca ovina|eive|1.0|R|3.55060628822141|6.18288745265052|17
Festuca ovina|eive|1.0|L|7.03612148690544|5.20746696460382|14
Festuca ovina|eive|1.0|T|3.43356253183765|4.68984561475076|11
Jacobaea vulgaris|eive|1.0|M|3.67294946476001|3.56087746454427|24
Jacobaea vulgaris|eive|1.0|N|5.04710552961208|4.68489761577922|20
Jacobaea vulgaris|eive|1.0|R|6.4840208472027|3.86642846220906|21
Jacobaea vulgaris|eive|1.0|L|7.65136135611122|3.92537196288655|18
Jacobaea vulgaris|eive|1.0|T|4.14941513020463|3.3209752742432|19
Quercus robur|eive|1.0|M|4.80255414908552|4.25596744582064|22
Quercus robur|eive|1.0|N|4.48614304414812|6.99635339417087|16
Quercus robur|eive|1.0|R|5.22169652702858|6.43081519714055|17
Quercus robur|eive|1.0|L|6.24107673068027|6.88211362716313|19
Quercus robur|eive|1.0|T|4.68601486436323|3.26576865714758|19
