taxon|vocab|vocab_version|dim|value|niche_width|n_systems
Abies alba|midolo2023|3|disturbance_severity|0.6958||
Abies alba|midolo2023|3|disturbance_frequency|0.02225||
Abies alba|midolo2023|3|mowing_frequency|0.00355||
Abies alba|midolo2023|3|grazing_pressure|0.19519||
Abies alba|midolo2023|3|soil_disturbance|0.1067||
Corynephorus canescens|midolo2023|3|disturbance_severity|0.41438||
Corynephorus canescens|midolo2023|3|disturbance_frequency|1.16035||
Corynephorus canescens|midolo2023|3|mowing_frequency|0.21513||
Corynephorus canescens|midolo2023|3|grazing_pressure|0.26972||
Corynephorus canescens|midolo2023|3|soil_disturbance|0.39925||
Festuca ovina|midolo2023|3|disturbance_severity|0.52087||
Festuca ovina|midolo2023|3|disturbance_frequency|0.57174||
Festuca ovina|midolo2023|3|mowing_frequency|0.29247||
Festuca ovina|midolo2023|3|grazing_pressure|0.27496||
Festuca ovina|midolo2023|3|soil_disturbance|0.19646||
Jacobaea vulgaris|midolo2023|3|disturbance_severity|0.49579||
Jacobaea vulgaris|midolo2023|3|disturbance_frequency|1.36306||
Jacobaea vulgaris|midolo2023|3|mowing_frequency|0.62791||
Jacobaea vulgaris|midolo2023|3|grazing_pressure|0.29201||
Jacobaea vulgaris|midolo2023|3|soil_disturbance|0.3217||
Quercus robur|midolo2023|3|disturbance_severity|0.69028||
Quercus robur|midolo2023|3|disturbance_frequency|0.09816||
Quercus robur|midolo2023|3|mowing_frequency|0.03309||
Quercus robur|midolo2023|3|grazing_pressure|0.20104||
Quercus robur|midolo2023|3|soil_disturbance|0.14832||
