taxon|vocab|vocab_version|dim|value|niche_width|n_systems
Abies alba|tichy2023|2.0|T|4.7||
Abies alba|tichy2023|2.0|M|6.1||
Abies alba|tichy2023|2.0|R|5.3||
Abies alba|tichy2023|2.0|N|5.5||
Abies alba|tichy2023|2.0|S|0.0||
Corynephorus canescens|tichy2023|2.0|L|8.4||
Corynephorus canescens|tichy2023|2.0|T|6.3||
Corynephorus canescens|tichy2023|2.0|M|2.4||
Corynephorus canescens|tichy2023|2.0|R|3.4||
Corynephorus canescens|tichy2023|2.0|N|1.7||
Corynephorus canescens|tichy2023|2.0|S|0.0||
Festuca ovina|tichy2023|2.0|L|7.2||
Festuca ovina|tichy2023|2.0|M|4.1||
Festuca ovina|tichy2023|2.0|N|2.2||
Festuca ovina|tichy2023|2.0|S|0.0||
Jacobaea vulgaris|tichy2023|2.0|L|7.8||
Jacobaea vulgaris|tichy2023|2.0|T|5.3||
Jacobaea vulgaris|tichy2023|2.0|M|3.8||
Jacobaea vulgaris|tichy2023|2.0|R|6.6||
Jacobaea vulgaris|tichy2023|2.0|N|5.0||
Jacobaea vulgaris|tichy2023|2.0|S|0.2||
Quercus robur|tichy2023|2.0|L|6.9||
Quercus robur|tichy2023|2.0|M|5.7||
Quercus robur|tichy2023|2.0|R|5.0||
Quercus robur|tichy2023|2.0|S|0.0||
