taxonid|family|genus|specificepithet|infraspecificepithet|scientfiicname|scientfiicnameauthorship|taxonrank|taxonomicstatus|acceptednameusageid|parentnameusageid|originalnameusageid|namepublishedin|nomenclaturalstatus|taxonremarks|scientificnameid|dynamicproperties|references
451295|Poaceae|Corynephorus|||Corynephorus|P.Beauv.|Genus|Accepted|451295|||Ess. Agrostogr.: 90 (1812)||Europe, Medit. to Iran|ipni:331174-2|{"powoid":"331174-2","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:331174-2
3133895|Asteraceae|Jacobaea|||Jacobaea|Mill.|Genus|Accepted|3133895|||Gard. Dict. Abr., ed. 4.: [667] (1754)||Subarctic America to NE. U.S.A., Temp. Eurasia to Indo-China, N. Africa|ipni:30463180-2|{"powoid":"30463180-2","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"N"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30463180-2
451511|Poaceae|Festuca|||Festuca|Tourn. ex L.|Genus|Accepted|451511|||Sp. Pl.: 73 (1753)||Temp. & Subtrop. to Trop. Mts.|ipni:328907-2|{"powoid":"328907-2","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328907-2
405825|Poaceae|Corynephorus|canescens||Corynephorus canescens|(L.) P.Beauv.|Species|Accepted|405825|451295|476481|Ess. Agrostogr.: 90 (1812)||Europe, Morocco|ipni:396681-1|{"powoid":"396681-1","lifeform":"perennial","climate":"temperate","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:396681-1
543929|Poaceae|Corynephorus|canescens|montana|Corynephorus canescens var. montana|Cout.|Variety|Synonym|405825|||Fl. Portugal: 79 (1913)|||ipni:77271170-1|{"powoid":"77271170-1","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77271170-1
405826|Poaceae|Corynephorus|canescens|pallidus|Corynephorus canescens f. pallidus|(Beckh.) Soó|Form|Synonym|405825||450134|Acta Bot. Acad. Sci. Hung. 17: 121 (1971 publ. 1972)|||ipni:881763-1|{"powoid":"881763-1","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:881763-1
450134|Poaceae|Weingaertneria|canescens|pallida|Weingaertneria canescens var. pallida|Beckh.|Variety|Synonym|405825|||Fl. Westfalen: 968 (1893)|||ipni:77295421-1|{"powoid":"77295421-1","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77295421-1
405828|Poaceae|Corynephorus|canescens|maritimus|Corynephorus canescens subsp. maritimus|(Godr.) Rivas Mart.|Subspecies|Synonym|405825||405830|Rivasgodaya 6: 166 (1991)|||ipni:967175-1|{"powoid":"967175-1","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967175-1
3082777|Asteraceae|Jacobaea|vulgaris||Jacobaea vulgaris|Gaertn.|Species|Accepted|3082777|3133895||Fruct. Sem. Pl. 2: 445 (1791)||Europe to Mongolia and Caucasus|ipni:226649-1|{"powoid":"226649-1","lifeform":"perennial","climate":"temperate","homotypicsynonym":"","hybridformula":"","reviewed":"N"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:226649-1
3082280|Asteraceae|Jacobaea|vulgaris||Jacobaea vulgaris|(L.) Claus|Species|Illegitimate|3082278||3082278|K.C.T.Goebel, Reise Steppen Russl. 2: 283 (1838)|, nom. illeg. homonym. post.||ipni:226650-1|{"powoid":"226650-1","lifeform":"","climate":"","homotypicsynonym":"T","hybridformula":"","reviewed":"N"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:226650-1
3082802|Asteraceae|Jacobaea|vulgaris|vulgaris|Jacobaea vulgaris subsp. vulgaris||Subspecies|Accepted|3082802|3082777||Unknown||Europe to Siberia and Caucasus, Morocco|ipni:77180486-1|{"powoid":"77180486-1","lifeform":"biennial","climate":"temperate","homotypicsynonym":"","hybridformula":"","reviewed":"N"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77180486-1
3082806|Asteraceae|Jacobaea|vulgaris|dunensis|Jacobaea vulgaris subsp. dunensis|(Dumort.) Pelser & Meijden|Subspecies|Accepted|3082806|3082777|3082804|Heukels' Fl. Nederland: 677 (2005)||Europe|ipni:77076744-1|{"powoid":"77076744-1","lifeform":"perennial","climate":"temperate","homotypicsynonym":"","hybridformula":"","reviewed":"N"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77076744-1
3082805|Asteraceae|Jacobaea|vulgaris|dunensis|Jacobaea vulgaris var. dunensis|(Dumort.) Hodálová & Mered'a|Variety|Synonym|3082806||3082804|Pl. Syst. Evol. 301: 1538 (2014)|, nom. superfl.||ipni:77147052-1|{"powoid":"77147052-1","lifeform":"","climate":"","homotypicsynonym":"T","hybridformula":"","reviewed":"N"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77147052-1
3082790|Asteraceae|Senecio|jacobaea||Senecio jacobaea|L.|Species|Synonym|3082777|||Sp. Pl.: 870 (1753)|||ipni:245719-1|{"powoid":"245719-1","lifeform":"","climate":"","homotypicsynonym":"T","hybridformula":"","reviewed":"N"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:245719-1
415853|Poaceae|Festuca|ovina||Festuca ovina|L.|Species|Accepted|415853|451511||Sp. Pl.: 73 (1753)||Temp. Eurasia|ipni:403212-1|{"powoid":"403212-1","lifeform":"perennial","climate":"temperate","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:403212-1
397471|Poaceae|Avena|dura||Avena dura|Salisb.|Species|Illegitimate|415853|||Prodr. Stirp. Chap. Allerton: 22 (1796)|, nom. illeg. superfl.||ipni:391427-1|{"powoid":"391427-1","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:391427-1
397736|Poaceae|Avena|ovina||Avena ovina|Salisb.|Species|Synonym|415853|||Prodr. Stirp. Chap. Allerton: 22 (1796)|||ipni:391639-1|{"powoid":"391639-1","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:391639-1
401569|Poaceae|Bromus|ovinus||Bromus ovinus|(L.) Scop.|Species|Synonym|415853||415853|Fl. Carniol., ed. 2, 1: 77 (1771)|||ipni:393943-1|{"powoid":"393943-1","lifeform":"","climate":"","homotypicsynonym":"T","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393943-1
415030|Poaceae|Festuca|duriuscula||Festuca duriuscula|L.|Species|Synonym|415853|||Sp. Pl.: 74 (1753)|||ipni:103831-2|{"powoid":"103831-2","lifeform":"","climate":"","homotypicsynonym":"","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:103831-2
477950|Poaceae|Festuca|ovina|vulgaris|Festuca ovina var. vulgaris|Schrad.|Variety|Invalid|415853|||Fl. Germ.: 320 (1806)|, not validly publ.||ipni:77276533-1|{"powoid":"77276533-1","lifeform":"","climate":"","homotypicsynonym":"T","hybridformula":"","reviewed":"Y"}|https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77276533-1
