join_authority|join_id|authority|ext_id|wikidata_qid
powo|226649-1|wikidata|Q15630491|Q15630491
powo|226649-1|gbif|5388602|Q15630491
powo|226649-1|colxr|3QJJ5|Q15630491
powo|226649-1|wfo|wfo-0000031875|Q15630491
powo|226649-1|inat|62498|Q15630491
powo|396681-1|wikidata|Q159953|Q159953
powo|396681-1|gbif|5290194|Q159953
powo|396681-1|colxr|YQW8|Q159953
powo|396681-1|floraveg|Corynephorus canescens|Q159953
powo|396681-1|wfo|wfo-0000860632|Q159953
powo|396681-1|inat|160927|Q159953
powo|331174-2|wikidata|Q2697235|Q2697235
powo|331174-2|gbif|2706183|Q2697235
powo|331174-2|colxr|8VWHG|Q2697235
powo|331174-2|wfo|wfo-4000009405|Q2697235
powo|331174-2|inat|157102|Q2697235
powo|396681-1|wikidata|Q900003|Q900003
powo|999999-9|inat|900001|Q900001
powo|396681-1|inat|900002|Q900002
powo|226649-1|inat|900002|Q900002
