concept_uuid|scientific_name|authorship|rank|status|sec_uuid|sec_title|classification_uuid|parent_uuid
0cf5a6fe-b1df-4f4f-85a8-31fef4be2a68|Abies alba|Mill.|Species|Accepted|8b86a7f4-3586-4402-9d7a-54e9161ed4fd|SCHMEIL-FITSCHEN: Flora von Deutschland und angrenzenden Ländern, 89. Aufl|03ba2da0-1e67-4dce-bb55-59058d4b0f26|
122053a6-abb7-4d4c-9f87-b7b8f6d1afef|Pinus abies|L. 1753|Species|Accepted|be62f034-87fd-40e2-bd16-da024e05eaf5|Andere Referenzen (fuer auct. Synonyme)|978d0b0f-61a8-408c-9303-bb7eda5958a1|
140ae1fe-cbae-41e2-9017-a4fb8fd46171|Pinus abies|L.|Species|Accepted|07591307-5bc9-4332-a90a-8235857060f6|BfN: FloraWeb DB (fuer Synonyme mit Fakten)|f4950cd9-67d3-42a5-b8d8-2a0a2dcec871|
2a9439bf-0cd9-4d49-a140-7ee0e695de06|Sisymbrium pyrenaicum|Vill.|Species|Accepted||||
3a4d27c5-9db4-4e5f-8ee2-ce97e95c82eb|Aconitum lycoctonum subsp. vulparia|(Rchb. ex Spreng.) Nyman|Subspecies|Accepted|88892c5c-755c-4f98-970a-7974bb456afc|Greuter & al.: Med-Checklist bisher Bde. 1, 3 und 4|1f83ed0e-6bc0-4461-99d3-cfb333820f0f|
3d256539-d7f7-4dd1-ad7f-cd6e4c141f24|Abies alba|Mill.|Species|Accepted|ca735e89-ca5c-4381-8e4a-693e6467fde0|OBERDORFER: Pflanzensoziologische Exkursionsflora, ed. 7|a51d7b77-20f2-4285-88c3-cc31920935df|
568cacd9-c027-43f2-958c-af7ea6e0baef|Aconitum napellus subsp. neomontanum|(Wulfen) Gáyer|Subspecies|Accepted|790d6644-39f3-4173-ae6c-ec6cbf951a10|EHRENDORFER: Liste der Gefäßpflanzen Mitteleuropas, 2. Aufl|45006c81-98ff-4f27-ad1b-011bae53910a|
61c2bc4f-a23d-4160-8f14-625b4484fc2f|Abies alba|Mill.|Species|Accepted|0f11a41f-8827-49dc-82df-4b02ad96d33e|HEGI: Illustrierte Flora von Mitteleuropa, Aufl. 2 u. 3|b3725bbc-d05c-4769-b64c-01c4d49194e5|
6a24cc06-c5fc-4b29-aaea-ee21be1130a6|Aconitum napellus subsp. napellus||Subspecies|Accepted|060afae5-76ef-44a7-921f-1202685ef351|Wisskirchen & Haeupler 1998: Standardliste der Farn- und Blütenpflanzen Deutschlands|4ea7fe85-4a02-47a0-949f-5e623f0c6216|
7a63f215-0a41-4b7e-9394-bda4521d6ad1|Abies alba|Mill.|Species|Accepted|88892c5c-755c-4f98-970a-7974bb456afc|Greuter & al.: Med-Checklist bisher Bde. 1, 3 und 4|1f83ed0e-6bc0-4461-99d3-cfb333820f0f|
872088a4-95f4-472c-ae79-a29028bb3fbf|Abies alba|Mill.|Species|Accepted|060afae5-76ef-44a7-921f-1202685ef351|Wisskirchen & Haeupler 1998: Standardliste der Farn- und Blütenpflanzen Deutschlands|4ea7fe85-4a02-47a0-949f-5e623f0c6216|edb469f3-aa1d-4edb-97c2-66cff43bc885
90ee17be-d455-4564-949d-9c53e27a6a6f|Abies alba|Mill.|Species|Accepted|6eeeeacc-1da9-4839-98d6-3169c4237ecd|TUTIN et al.: Flora Europaea|c047b968-689e-4363-8fc8-7da802785edd|
a8dae2f7-9dd8-4d51-8c62-6fe6254e41dc|Carex ornithopoda|Willd.|Species|Accepted|6eeeeacc-1da9-4839-98d6-3169c4237ecd|TUTIN et al.: Flora Europaea|c047b968-689e-4363-8fc8-7da802785edd|
b0d35335-63e6-41ab-bdb0-d01851134e9c|Abies alba|Mill.|Species|Accepted|790d6644-39f3-4173-ae6c-ec6cbf951a10|EHRENDORFER: Liste der Gefäßpflanzen Mitteleuropas, 2. Aufl|45006c81-98ff-4f27-ad1b-011bae53910a|
b50fb70f-d829-4ef6-b454-11fa9a864836|Sisymbrium austriacum|Jacq.|Species|Accepted|060afae5-76ef-44a7-921f-1202685ef351|Wisskirchen & Haeupler 1998: Standardliste der Farn- und Blütenpflanzen Deutschlands|4ea7fe85-4a02-47a0-949f-5e623f0c6216|
b7a352aa-1f73-41f3-a4e3-b24fc1c2cd5f|Abies alba|Mill.|Species|Accepted|87ed3300-5846-4ff1-809c-eb289aec54d8|Schubert, R. & Vent, W. (eds.) 1990: Exkursionsflora von Deutschland, begr. von Werner Rothmaler, 8. Aufl., 4. Kritischer Band: 811. – Berlin: Volk und Wissen|1f41816b-1715-4428-9e57-8065081f24f2|
ef74d1fe-08cc-43ab-b362-2854a515fc0b|Carex ornithopodioides|Hausm.|Species|Accepted|060afae5-76ef-44a7-921f-1202685ef351|Wisskirchen & Haeupler 1998: Standardliste der Farn- und Blütenpflanzen Deutschlands|4ea7fe85-4a02-47a0-949f-5e623f0c6216|
f28d9644-90af-451c-a056-ba900bcb81df|Aconitum lycoctonum subsp. vulparia|(Rchb. ex Spreng.) Nyman|Subspecies|Accepted|060afae5-76ef-44a7-921f-1202685ef351|Wisskirchen & Haeupler 1998: Standardliste der Farn- und Blütenpflanzen Deutschlands|4ea7fe85-4a02-47a0-949f-5e623f0c6216|
